V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
17.37,,6.1,2018,2018,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
14.54,,4.3,2016,2016,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
13.91,,3.0,2016,2016,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
28602.0,,3.8,2016,2016,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
25240.0,,4.3,2016,2016,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
29993.0,,4.9,2016,2016,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
27908.0,,3.4,2016,2016,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.89,,2.5,2016,2016,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
30989.0,,5.2,2016,2016,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
25391.0,,4.9,2016,2016,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
12.98,,3.8,2016,2016,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
13.75,,3.6,2016,2016,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.99,,3.5,2016,2016,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
27727.0,,3.9,2017,2017,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.0,,4.3,2017,2017,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.27,,4.3,2017,2017,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
13.81,,3.2,2017,2017,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
28863.0,,4.4,2017,2017,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
27520.0,,3.3,2017,2017,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
25848.0,,4.9,2017,2017,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
14.01,,4.2,2017,2017,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.63,,2.8,2017,2017,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
24710.0,,4.8,2017,2017,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
29688.0,,5.3,2017,2017,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.37,,3.8,2017,2017,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
