V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
16.94,,3.6,2018,2018,E09000023,Lewisham,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
33981.0,,6.5,2016,2016,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
21.12,,4.8,2016,2016,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
17.27,,5.1,2016,2016,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
36729.0,,6.0,2016,2016,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
17.07,,4.3,2016,2016,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.33,,10.0,2016,2016,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
18.05,,4.8,2016,2016,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
19.31,,3.4,2016,2016,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
40198.0,,8.1,2016,2016,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
34743.0,,8.6,2016,2016,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
32359.0,,18.0,2016,2016,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
45006.0,,13.0,2016,2016,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
41901.0,,6.5,2017,2017,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
46854.0,,7.0,2017,2017,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
19.94,,4.0,2017,2017,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
18.08,,17.0,2017,2017,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
17.62,,5.2,2017,2017,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
39305.0,,15.0,2017,2017,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
39293.0,,14.0,2017,2017,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
17.91,,11.0,2017,2017,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
34659.0,,12.0,2017,2017,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
,x,27.0,2017,2017,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
21.56,,5.4,2017,2017,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
17.97,,9.4,2017,2017,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
38131.0,,8.3,2018,2018,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
46409.0,,8.2,2018,2018,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
42904.0,,5.9,2018,2018,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
19.12,,5.5,2018,2018,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
21.08,,4.7,2018,2018,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
20.28,,3.6,2018,2018,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
,x,23.0,2018,2018,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
37982.0,,8.8,2018,2018,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
35438.0,,11.0,2018,2018,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
17.29,,9.5,2018,2018,E09000015,Harrow,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
18.04,,6.3,2018,2018,E09000015,Harrow,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
17.67,,5.6,2018,2018,E09000015,Harrow,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
19.09,,3.3,2016,2016,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
46415.0,,6.7,2016,2016,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
20.82,,4.5,2016,2016,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.64,,4.2,2016,2016,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
32666.0,,7.8,2016,2016,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
14.58,,4.9,2016,2016,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
28246.0,,7.3,2016,2016,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
16.17,,3.5,2016,2016,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
32477.0,,5.1,2016,2016,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
35474.0,,12.0,2016,2016,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
40392.0,,4.9,2016,2016,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
17.07,,4.6,2016,2016,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
18.85,,3.3,2017,2017,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
45595.0,,7.4,2017,2017,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
35303.0,,7.1,2017,2017,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
36833.0,,5.5,2017,2017,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
33857.0,,4.2,2017,2017,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.95,,3.6,2017,2017,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
17.31,,4.1,2017,2017,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
