V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
15.09,,4.8,2018,2018,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
29752.0,,3.7,2016,2016,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.59,,2.1,2016,2016,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
25662.0,,5.8,2016,2016,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
32930.0,,4.4,2016,2016,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
35984.0,,4.3,2016,2016,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
14.16,,2.3,2016,2016,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
17.22,,3.0,2016,2016,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
31682.0,,2.9,2016,2016,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.61,,2.7,2016,2016,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
15.33,,3.0,2016,2016,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
27230.0,,3.0,2016,2016,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.78,,2.0,2016,2016,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
14.43,,2.7,2017,2017,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.07,,3.1,2017,2017,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
32983.0,,4.6,2017,2017,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
30536.0,,5.1,2017,2017,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
36198.0,,4.3,2017,2017,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.4,,2.2,2017,2017,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.17,,1.9,2017,2017,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
27073.0,,2.7,2017,2017,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
17.42,,2.9,2017,2017,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
27199.0,,9.9,2017,2017,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.7,,2.0,2017,2017,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
31838.0,,2.9,2017,2017,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
31484.0,,3.8,2018,2018,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
27806.0,,6.6,2018,2018,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
34134.0,,4.2,2018,2018,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
15.21,,3.2,2018,2018,E08000012,Liverpool,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.18,,2.4,2018,2018,E08000012,Liverpool,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.84,,3.3,2018,2018,E08000012,Liverpool,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
